role,starting_salary,starting_salary_hr_yr,year_starting_salary,ending_salary,ending_salary_hr_yr,Hourly(H)_Permanent(P)_Contingent(C),year_ending_salary,years_experience,gender,ethnicity,degrees_required
Director,35000,yr,2016,50000,yr,P,2019,8,female,white,BA required MA preferred
Designer,50000,yr,2017,53000,yr,,2019,2,female,white,MA
Manager,35000,yr,2016,36000,yr,P,2019,6,,,BA required MA preferred
Director,65000,yr,2018,80000,yr,P,2019,12,female,latino,MA
Coordinator,24960,yr,2017,27040,yr,H,2019,3,female,asian,BA
Curator,48000,yr,2018,49440,yr,P,2019,9,male,white,MA
Manager,30000,yr,2011,42000,yr,,,8,,,
Curator,52000,yr,2013,58000,yr,P Full Time,2019,20,female,white,MA
Manager,40000,yr,2017,40000,yr,P,2019,10,female,white,BA required MA preferred
Assistant,20,hr,2018,,yr,H,2019,6,female,white,BA
Education,9,hr,2013,12.5,hr,H,2017,9,female,white,BA
Director,41000,yr,2014,50000,yr,P,2019,5,female,white,
Registrar,34700,yr,2017,40000,yr,P,2019,1,female,white,BA required MA preferred
Conservator,55000,yr,2018,55000,yr,P,2019,5,male,white,MA
Registrar,38800,yr,2017,38800,yr,P,2019,16,female,white,MA
Manager,30000,yr,2018,30000,yr,P,2019,7,female,,
Coordinator,28900,yr,2013,38000,yr,P,2019,7,,,BA
Manager,12.5,hr,2017,15,hr,H,2019,3,female,,
Manager,65000,yr,2017,66500,yr,P,2019,6,,,
Designer,50000,yr,2016,53000,yr,P,2018,10,female,asian,
Coordinator,31000,yr,2012,36000,yr,P,2019,12,,,BA
Manager,45000,yr,2015,54900,yr,P,2019,12,female,mixed,BA required MA preferred
Coordinator,23.4,hr,2016,23.79,hr,H,2018,6,female,white,MA
Coordinator,36000,yr,2016,42000,yr,H,2019,,female,white,BA
Manager,58000,yr,2008,100000,yr,P,2019,14,female,,
