role,starting_salary,starting_salary_hr_yr,year_starting_salary,ending_salary,ending_salary_hr_yr,Hourly(H)_Permanent(P)_Contingent(C),year_ending_salary,years_experience,gender,ethnicity,degrees_required
Manager,75000,yr,2015,82000,yr,P,2019,10,female,white,BA required MA preferred
Librarian,48000,yr,2015,50920,yr,H,2019,5,female,white,
Coordinator,50000,yr,2014,65863,yr,C,2018,4,female,white,BA required MA preferred
Assistant,42770,yr,2018,2018,yr,H,2019,2,female,white,MA
Assistant,13.25,hr,2014,13.25,yr,H,2014,2,female,asian,BA
Assistant,21,hr,2017,22.3,hr,,2019,4,female,white,MA
Teacher,,,2018,,,H,2019,2,female,,BA
Director,30000,yr,2013,36000,yr,P,2016,3,female,white,BA
Assistant Curator,54000,yr,2019,54000,yr,C,2019,7,female,white,MA
Curator,83500,yr,2019,83500,yr,P,2019,15,female,white,MA
Curator,42000,yr,2013,45000,yr,P,2017,8,female,white,MA
Assistant Curator,60000,yr,2010,63000,yr,P,2017,12,,white,MA
Visitor Experience,9,hr,,9,hr,H,2017,6,female,white,No degree
Assistant,,,2016,,,H,,1,female,white,
Assistant Curator,55000,yr,2018,55000,yr,P,2019,,female,white,PhD
Assistant Director,50000,yr,2018,50000,yr,P,2019,5,,,BA
Assistant Director,65000,yr,,65000,yr,P,,,female,white,
Technical,13,hr,,13,hr,H,2019,5,male,white,
Assistant Registrar,13,hr,2015,14.56,hr,HP,2019,7,female,mixed,BA
Manager,38000,yr,2015,54000,yr,P,2019,7,female,white,BA required MA preferred
Registrar,21.63,hr,2017,22.94,hr,HP,2019,12,female,white,BA required MA preferred
Communications,54931,yr,2016,58285,yr,P,2019,5,male,white,BA
Visitor Experience,49500,yr,,51000,yr,P,2019,,female,,
Conservator,43000,yr,2017,51000,yr,P,2019,3,female,asian,MA
Assistant,42504,yr,,43576,yr,P,,,,,
Conservator,42000,yr,,60000,yr,,2019,30,,,MA
Assistant,36000,yr,2008,39000,yr,C,2008,,,,
Curator,52000,yr,2018,,,P,2018,12,female,white,BA
Editorial,35304,yr,2009,,,P,2013,3,female,white,HS
Assistant Curator,45000,yr,2018,45000,yr,P,2019,5,female,latino,BA
Assistant Curator,,,,43500,yr,P,2019,8,,,BA
Communications,50000,yr,2017,50000,yr,P,2019,6,female,white,MA
Communications,50000,yr,2017,50000,yr,P,2019,6,female,white,MA
Designer,53040,yr,2012,80040,yr,P,2019,21,female,white,BA
Visitor Experience,19800,yr,2018,19800,yr,H Part Time,2019,3,,,BA
Visitor Experience,13.25,hr,2017,13.75,hr,H,2019,7,,,BA
Curator,25,hr,,25,hr,H,2015,10,female,white,
Curator,,,,330000,yr,P,2017,,,,
Curator,,,,325000,yr,P,2017,,,,
Curator,,,,310000,yr,P,2017,,,,
Curator,,,,285000,yr,P,2017,,,,
Curator,,,,260000,yr,P,2017,,,,
Curator,,,,220000,yr,,,,,,
Assistant Curator,75000,yr,,110000,yr,P,2019,20,male,white,
other,90000,yr,,105500,yr,P,2018,10,female,white,
Assistant Curator,95000,yr,,98000,yr,P,2019,,female,white,
Manager,39000,yr,,90000,yr,P,2019,,female,white,
Registrar,25,hr,,83000,yr,P,2019,20,female,white,
Archivist,53000,yr,,79000,yr,P,2019,10,,,MA
Curator,28000,yr,,78000,yr,P,2019,,,,MA
Curator,61000,yr,2015,75000,yr,P,2019,,female,white,
Assistant Educator,67535,yr,2017,73797,yr,,2019,,female,white,
Designer,65000,yr,,66950,yr,P,2019,,,,
Assistant Curator,,,,64916,yr,,2019,10,female,,
Assistant Curator,54931,yr,,64915,yr,P,2019,,female,,
Assistant Curator,59000,yr,,61000,yr,C,2019,,male,,
Assistant Curator,51000,yr,,61000,yr,P,2018,,,,
Assistant Curator,50175,yr,2014,61000,yr,C,2018,,female,,
Assistant Curator,60000,yr,2018,60000,yr,P,2019,5,female,,MA
Assistant Curator,49000,yr,2012,59000,yr,C,2016,,,,
Designer,55000,yr,,56650,yr,P,2019,,,,
Assistant,54000,yr,,56000,yr,C,2019,,female,,
Assistant,53500,yr,,53500,yr,C,2018,,,,
Coordinator,48839,yr,,52875,yr,P,2019,,female,white,
Assistant,38000,yr,,48000,yr,P,2019,3,female,white,BA
Assistant,43500,yr,,46000,yr,,2019,,female,white,
Assistant Curator,43000,yr,,45000,yr,,2010,,,,
Research,38500,yr,,38500,yr,C,2019,,,,
Research,32672,yr,2018,32672,yr,C,2019,,,,
Intern,0,yr,,0,yr,,2014,1,female,white,BA
Manager,60000,yr,,,,P,2018,,female,white,
Assistant,47000,yr,,,,C,2018,,female,asian,
Manager,47000,yr,,,,,,,,,
Coordinator,44000,yr,2015,,,P,2017,,female,white,
Visitor Experience,31000,yr,,,,,,,,,
Visitor Experience,17000,yr,,,,,,,,,
Intern,3850,yr,,,,C,,,,,
Assistant Curator,45000,yr,2015,83000,yr,C,2019,5,female,,
Registrar,51480,yr,2005,83304,yr,HP,2019,19,female,,
Assistant Educator,62000,yr,2010,66000,yr,P,,10,female,,MA
Coordinator,62000,yr,2018,63860,yr,,2019,3,,,BA
Conservator,45000,yr,2018,49000,yr,C,2019,,female,white,MA
Assistant,48000,yr,2018,52000,yr,C,,,,,
Assistant Curator,25000,yr,2000,50000,yr,,2008,8,male,latino,BA
other,40,hr,2018,,,H,2019,10,,,
other,40,hr,2017,95,yr,H,,10,,,
Curator,32000,yr,,162000,yr,P,2019,20,,,
Assistant,32000,yr,2015,56000,yr,P,2019,4,female,white,
Assistant Curator,90000,yr,,,yr,P,2017,,female,white,
Intern,0,yr,,0,yr,,2009,,,,
Art Handler,30,hr,2018,32.5,hr,H,2019,4,female,white,
Gallery Assistant,14,hr,2016,17,hr,P,2019,3,,,
Assistant Curator,,,,78000,yr,P,2019,9,,,
Assistant Curator,52000,yr,2018,58000,yr,P,2019,,female,white,
Assistant Curator,,,,68000,yr,P,2019,,,,
Visitor Experience,10,hr,2017,10,hr,H,2017,4,female,white,BA
Assistant,20,hr,2019,20,hr,HP,2019,16,,,
Manager,49000,yr,2017,50000,yr,P,2019,7,female,,BA required MA preferred
Manager,40000,yr,,40000,yr,P,2016,,,,
Communications,25500,yr,2017,25500,yr,H,,4,female,latino,BA
Admin,50000,yr,2011,95000,yr,P,2019,13,female,white,MA
Registrar,46000,yr,2017,46000,yr,P,2019,20,female,white,MA
Assistant Curator,30000,yr,2016,46000,yr,H,2019,4,female,mixed,MA
Coordinator,42000,yr,2013,49000,yr,P,2015,8,female,white,BA required MA preferred
Education,75,hr,2017,75,hr,H,2019,9,female,white,MA
Communications,35000,yr,2015,39000,yr,P,2017,,female,asian,BA
Assistant Curator,,,,48500,yr,P,2019,3,,,
Visitor Experience,13.75,hr,2018,13.75,hr,H,2019,3,female,,No degree
Visitor Experience,13.75,hr,2018,13.75,hr,H,2019,,,,
Communications,24500,yr,2005,35000,yr,P,2013,,female,white,
Communications,30000,yr,,30000,yr,,2014,,female,white,
Assistant,28000,yr,2018,28000,yr,P,2019,,female,white,
Assistant,34320,yr,,34320,yr,H,2019,3,female,white,BA required MA preferred
Visitor Experience,12,hr,2018,12,hr,H,2019,,female,,
Curator,35000,yr,2017,35000,yr,,2018,5,,,MA
Manager,55000,yr,2015,58000,yr,P,2017,6,female,white,
Intern,0,yr,,,,,,,,,
Visitor Experience,13.75,hr,,,,H,2019,2,,latino,
Registrar,48000,yr,2017,48000,yr,P,2019,5,female,poc,BA
Manager,35000,yr,2018,35000,yr,P,2019,3,female,,BA required MA preferred
Registrar,11,hr,2012,16,hr,H,2019,10,male,white,No degree
Visitor Experience,9.5,hr,2014,12.5,hr,H,2019,5,female,,BA
Curator,240000,yr,2014,240000,yr,,2018,,female,white,
Curator,110000,yr,,110000,yr,,2019,,female,,
Assistant Curator,60000,yr,,63800,yr,P,2019,,male,latino,
Assistant Curator,50000,yr,,53500,yr,P,2018,,female,white,
Assistant,43000,yr,2017,49999,yr,P,2019,,female,white,
Assistant Curator,37000,yr,2013,42000,yr,HP,2017,,female,white,
Assistant,37000,yr,,37000,yr,H,2017,5,female,,
Visitor Experience,13.75,hr,2018,13.75,hr,H,2019,,,,
Curator,35000,yr,2004,50000,yr,P,2012,,female,asian,
Curator,50000,yr,2012,70000,yr,P,2014,,female,asian,
Conservator,52000,yr,2005,71000,yr,P,2019,22,,,MA
Assistant Curator,60000,yr,2018,60000,yr,C,2019,15,female,,MA
Sales,15.72,hr,2018,,yr,H,2019,5,,,
Conservator,18500,yr,1995,67000,yr,P,2019,34,female,white,MA
Assistant Curator,60000,yr,2019,60000,yr,C,,10,female,white,MA
Manager,51000,yr,2009,60000,yr,P,2019,14,female,white,BA
Assistant Curator,50000,yr,2018,50000,yr,C,2019,10,female,,MA
Assistant Curator,40000,yr,2018,41000,yr,H,2019,3,female,,MA
Manager,39000,yr,1999,69000,yr,P,2019,45,male,white,BA
Manager,45000,yr,2009,55500,yr,P,2019,15,,,MA
Visitor Experience,28000,yr,2015,28000,yr,H,2018,5,female,white,BA
Assistant Curator,50000,yr,2019,50000,yr,C,2019,5,female,white,PhD
Visitor Experience,23000,yr,2018,23000,yr,H,2019,7,female,white,
Visitor Experience,14,hr,2018,14.09,yr,H,2019,3,female,white,
Assistant,44000,yr,2016,46000,yr,P,2017,3,female,white,BA
Assistant Curator,40000,yr,2009,59000,yr,P,2019,13,female,white,MA
Conservator,34000,yr,2016,37000,yr,C,2019,3,,,MA
other,54000,yr,2016,56000,yr,P,2018,4,male,white,BA
Assistant Curator,60000,yr,2016,65000,yr,C,2019,8,female,white,MA
Manager,56000,yr,2019,56000,yr,P,2019,8,,black,BA
Conservator,30000,yr,2000,50000,yr,P,2019,7,female,white,BA
Assistant Curator,34000,yr,,37000,yr,P,2017,8,female,white,MA
Conservator,27000,yr,,27000,yr,C,2017,0,female,white,MA
Education,32000,yr,2016,40000,yr,P,2019,6,female,white,BA
Assistant,16,hr,2015,17.25,hr,H,2018,1,female,mixed,BA
Assistant Curator,36000,yr,2017,37500,yr,C,2019,6,,,MA
Designer,27456,yr,2016,27456,yr,H,2017,3,female,mixed,BA
Coordinator,32175,yr,2016,40950,yr,H,2019,7,female,white,BA required MA preferred
Assistant Curator,16,hr,2017,18,hr,,,3,female,,BA
Curator,31500,yr,2017,31500,yr,C,2017,10,female,,PhD
Editor,24.85,hr,2014,24.85,hr,H,2014,1,female,white,MA
Education,115,hr,,30000,yr,H,2019,,other,white,MA
Assistant,37917,yr,2017,47487,yr,P,2019,3,female,white,BA
Manager,48000,yr,,60000,yr,P,2019,,,,
Visitor Experience,12.5,hr,2019,,,HP,2019,,,,
Communications,43000,yr,2013,55000,yr,P,2018,8,,,BA
Assistant Educator,15,hr,,17,hr,HP,2019,3,male,white,
Manager,62000,yr,,63000,yr,P,2017,,,,
Assistant,15,hr,2018,15,hr,C,2019,5,female,white,BA required MA preferred
Visitor Experience,15,hr,2018,15.76,hr,H Part Time,2019,3,female,white,BA required MA preferred
Coordinator,21000,yr,2016,,,C,2016,3,female,white,
Communications,60000,yr,2019,,yr,P,2019,7,female,white,BA
Coordinator,38000,yr,,38000,yr,,2017,4,,,
Director,55000,yr,2016,,yr,P,2016,10,female,white,BA
Education,14.7,hr,2017,15,hr,H,2019,4,female,white,MA
Coordinator,48000,yr,2015,50000,yr,P,2019,,,,
Assistant Director,57000,yr,2005,79000,yr,P,2015,15,,,
Education,24000,yr,,29000,yr,H,2019,5,female,white,
Visitor Experience,10,hr,2018,11,hr,H,2019,4,female,white,BA
Visitor Experience,8.4,hr,2014,11.6,hr,H,2019,5,female,white,
Registrar,19.5,hr,2018,20.5,hr,H,2019,5,male,white,
Director,35000,yr,2018,40000,yr,P,2019,,female,white,
Curator,20,hr,2017,21,hr,H,2019,7,female,white,MA
Teacher,12,hr,2008,13.6,hr,H,,1,female,white,HS
Teacher,13,hr,2008,13,hr,H,2010,,female,white,HS
Education,33000,yr,2017,34000,yr,P,2019,5,female,white,BA
other,,,,187000,yr,P,2017,,,,
Curator,,,,187000,yr,P,2017,,,,
Director,,,,187000,yr,P,2017,,,,
Technical,,,,196915,yr,P,2017,,,,
Manager,,,,134426,yr,P,2017,,,,
Archivist,,,,123223,yr,P,2017,,,,
Academic,,,,120074,yr,P,2017,,,,
Art Handler,,,,120074,yr,P,2017,,,,
Assistant Curator,,,,98323,yr,P,2017,,,,
Assistant Registrar,,,,95666,yr,P,2017,,,,
Admin,,,,93008,yr,P,2017,,,,
Technical,,,,87693,yr,P,2017,,,,
Librarian,,,,78703,yr,P,2017,,,,
Librarian,,,,77593,yr,P,2017,,,,
Assistant Curator,,,,73160,yr,P,2017,,,,
Art Handler,,,,67801,yr,P,2017,,,,
Assistant Curator,51630,yr,,60470,yr,P,2017,,female,white,
other,,,,58428,yr,P,2017,,,,
Assistant Curator,50000,yr,,50000,yr,C,2018,,female,white,PhD
Security,,,,47171,yr,P,2017,,,,
Intern,38400,yr,2018,38400,yr,C,2019,7,,white,BA required MA preferred
Technical,20,hr,2018,20,hr,HC,2019,1,female,white,
Manager,95139,yr,2018,,,P,2018,,,,
Art Handler,41500,yr,2011,69500,yr,P,2019,12,,,BA
Assistant Curator,63722,yr,2015,78861,yr,,2019,7,female,white,PhD
Assistant Curator,52089,yr,2009,89000,yr,P,2019,20,female,white,MA
Visitor Experience,9,hr,1998,9,hr,HP,2000,14,female,white,BA
Visitor Experience,14.2,hr,2018,14.5,hr,HP,,1,female,white,BA
Visitor Experience,14.5,hr,2019,14.5,hr,HP,2019,4,female,white,BA required MA preferred
Curator,55000,yr,,56000,yr,P,2019,,female,white,
Communications,36000,yr,2014,36000,yr,C,,5,female,white,BA
Coordinator,12.75,hr,2016,15.45,hr,HP,2019,7,female,,
Conservator,45000,yr,,,,C,,3,,,
Coordinator,30000,yr,,37000,yr,P,2019,,other,white,
Assistant,40000,yr,2017,40000,yr,H,2019,3,female,poc,
Communications,58000,yr,2018,58000,yr,P,2018,5,female,white,BA
Visitor Experience,14,hr,2015,15,hr,H,2018,2,,,BA
Curator,34000,yr,2003,94000,yr,P,2019,16,male,white,MA
Relations,32000,yr,2013,35000,yr,P,,1,,white,BA
Curator,65061,yr,2011,76762,yr,P,2019,8,female,white,BA
Education,71115,yr,,76541,yr,P,2019,,female,white,
Education,42000,yr,2016,,,P,2016,2,female,white,BA
Relations,15.87,hr,2016,19.06,hr,H,2019,10,female,,
Curator,45000,yr,2019,45000,yr,P,2019,5,female,white,MA
Assistant,15,yr,2016,,,C,2016,8,female,white,MA
Assistant,40000,yr,2018,42000,yr,C,2019,10,,,MA
other,55000,yr,2019,55000,yr,P,2019,3,female,,MA
Coordinator,50000,yr,2019,50000,yr,,2019,13,female,white,BA
Art Handler,28500,yr,2017,28500,yr,H,2019,10,male,white,
Visitor Experience,15,hr,2016,15,hr,H,2017,1,female,white,BA
Relations,80000,yr,2018,90000,yr,P,2019,3,female,white,BA
Editorial,22,hr,2014,22,hr,H,2016,,female,white,
Editor,45000,yr,,55000,yr,P,2019,,female,white,
Manager,45000,yr,2016,52000,yr,P,2019,8,female,white,MA
Registrar,50000,yr,2017,58500,yr,P,2019,10,,,
Assistant,35000,yr,2017,40000,yr,P,2019,,female,,
Assistant Curator,40000,yr,2017,40000,yr,P,2019,8,female,white,MA
Communications,42000,yr,2018,42000,yr,P,2019,1,male,white,
other,40000,yr,2012,,,P,2012,4,female,white,
Assistant,40000,yr,,,,P,2019,0,female,white,BA
Designer,50000,yr,2017,60000,yr,P,2018,,female,white,
Editor,37000,yr,2011,45000,yr,P,,,female,white,
Registrar,,,,61200,yr,P,2019,10,,,
Manager,52000,yr,2017,54000,yr,P,2019,5,,white,MA
Assistant Curator,39000,yr,2013,75000,yr,P,2019,12,female,white,
Designer,32000,yr,2012,34000,yr,P,2013,1,female,white,BA
Manager,53000,yr,2018,53000,yr,P,2019,,,,
Archivist,6000,yr,2018,,,C,2018,1,,black,BA required MA preferred
Visitor Experience,30000,yr,,30000,yr,C,2018,,female,,PhD
Assistant Director,60000,yr,2015,73000,yr,P,2019,8,female,white,
Manager,29000,yr,2019,29000,yr,C,2019,3,male,black,BA
Assistant,29000,yr,2012,32000,yr,P,2014,,female,white,
Manager,36000,yr,2013,36000,yr,P,2014,4,female,white,BA required MA preferred
Assistant,34000,yr,2012,34000,yr,P,2014,8,female,white,BA
Manager,36000,yr,2011,36000,yr,P,2013,8,female,white,BA required MA preferred
Educator,,,,25,hr,H,2019,,,,
Manager,40000,yr,,51500,yr,,2019,,female,white,
Assistant Curator,43250,yr,2015,47730,yr,P,2019,8,,,
Assistant Curator,44000,yr,,47000,yr,P,2019,3,,white,MA
Designer,15,hr,2019,15,hr,C,2019,0,female,white,
Educator,15,hr,2015,20,hr,H,2015,1,female,latino,BA
Assistant,35000,yr,2018,35000,yr,P,2018,5,female,white,MA
Educator,25,hr,2016,25,hr,H,2018,5,female,white,BA
Technical,25,hr,2015,35,hr,H,2019,10,,,
Editor,62000,yr,2016,65000,yr,P,2019,7,,,MA
Librarian,51200,yr,2016,57500,yr,P,2019,6,female,,MA
Curator,55000,yr,1998,68000,yr,P,2019,20,female,white,MA
Registrar,55000,yr,2015,64000,yr,P,2019,11,,,MA
Intern,3000,yr,2017,3000,yr,C,2017,,female,white,
Assistant,48000,yr,2018,50000,yr,P,2019,7,female,white,BA required MA preferred
Assistant,36000,yr,2015,37000,yr,C,2017,3,female,white,MA
Communications,65000,yr,2019,,,,2019,5,,white,BA
Designer,45000,yr,2016,47750,yr,P,2018,3,female,asian,BA
Manager,50000,yr,2017,50000,yr,,2019,5,male,black,BA
Assistant Registrar,38480,yr,,38480,yr,HP,2018,8,female,white,MA
Director,55000,yr,2019,,,P,2019,25,female,white,PhD
Registrar,35000,yr,2019,35000,yr,HP,2019,8,male,,
Director,35000,yr,2015,41000,yr,P,2019,2,female,white,MA
Art Handler,35900,yr,,36600,yr,P,2019,7,male,white,No degree
Technical,29500,yr,2017,31500,yr,P,2019,5,,white,MA
Art Handler,,,,38462,yr,P,2019,20,,,MA
Education,15,hr,2013,15.5,hr,H,2018,7,female,white,BA
Coordinator,37000,yr,,38000,yr,H Full Time,2029,5,female,white,
Manager,27.25,hr,2016,27.25,hr,C,2019,5,female,white,BA required MA preferred
Assistant Registrar,60000,yr,2018,60000,yr,P,2019,8,female,asian,MA
Manager,39000,yr,2017,47000,yr,P,2019,5,female,mixed,BA
Conservator,37288,yr,2000,96510,yr,C,2019,18,female,white,MA
Manager,44000,yr,2018,44000,yr,P,2019,2,female,white,BA required MA preferred
Manager,65000,yr,2014,69700,yr,,2019,10,,,BA
Technical,48000,yr,2016,51000,yr,H,2019,1,male,white,HS
Assistant Curator,,,,59000,yr,P,2019,,,,
Assistant Curator,56000,yr,,56000,yr,P,2016,,,,
Assistant Registrar,20.79,hr,2016,24.61,hr,P,2019,5,female,white,No degree
Assistant Curator,59000,yr,2017,59200,yr,P,2019,8,female,latino,MA
Technical,,,,52800,yr,P,2019,9,female,white,No degree
Visitor Experience,,,2016,2019,yr,H,,,female,white,MA
Curator,32000,yr,2017,21000,yr,H,2019,23,female,poc,MA
Assistant,11.5,hr,2016,12.5,hr,H,2017,0,female,white,BA
Assistant Curator,30000,yr,2016,32000,yr,P,2018,4,,,MA
Curator,50600,yr,2014,54800,yr,P,2018,8,male,white,
Curator,48500,yr,2014,65000,yr,P,2019,13,female,white,MA
Manager,47000,yr,2013,51000,yr,P,2019,11,male,white,MA
Assistant,40000,yr,,45000,yr,P,2019,,female,,
Assistant,35000,yr,2018,,,P,2018,6,,,
Assistant,15,hr,2017,15,hr,H Part Time,2018,6,female,white,BA required MA preferred
Visitor Experience,40560,yr,2015,43576,yr,P,2019,15,male,,
Assistant Curator,62500,yr,2018,62500,yr,P,2019,9,male,white,
Coordinator,30000,yr,2017,32000,yr,P,2019,6,female,white,BA required MA preferred
Manager,27500,yr,2018,30000,yr,H,2019,,female,white,
Assistant Registrar,26500,yr,2016,27500,yr,H,2018,,female,white,
Editor,36000,yr,2012,54000,yr,P,2017,17,female,white,
Editor,,,,35000,yr,P,1996,5,,,
Assistant Curator,16,hr,2018,18,hr,HP,2019,2,female,white,BA required MA preferred
Assistant Director,43000,yr,,65520,yr,P,2019,,female,,
Director,60000,yr,2010,72000,yr,P,2016,,female,white,
Manager,46500,yr,,62000,yr,P,2019,,female,,
Manager,55000,yr,2012,58000,yr,P,2015,,,,
Assistant Curator,45000,yr,,47000,yr,P,2017,,,,
other,55000,yr,2016,59000,yr,P,2019,6,female,,BA required MA preferred
Coordinator,36000,yr,2014,56000,yr,P,2019,9,female,mixed,BA
Assistant Director,75000,yr,2013,86700,yr,P,2019,20,male,white,
Assistant Director,15,hr,,52000,yr,P,2019,12,male,white,MA
Education,13,hr,2019,13,hr,H,2019,5,,,BA
Assistant Curator,15,hr,,15,hr,H,2017,,female,,MA
Education,13,hr,2013,27560,yr,HP,2019,6,,,BA required MA preferred
Coordinator,14,hr,2018,14,hr,HP,2019,1,female,white,BA
Assistant Director,38000,yr,2018,38000,yr,P,2019,2,female,,BA
Director,65000,yr,,70000,yr,P,2019,20,female,white,MA
Curator,40000,yr,2018,40000,yr,H,2019,7,,,MA
Teacher,18,hr,2013,21.5,hr,H Part Time,2017,6,,,
Curator,35000,yr,2017,35000,yr,C,2019,,,,
Assistant,10,hr,2018,,yr,H,2019,3,female,white,MA
Assistant,10,hr,2018,10,hr,H,,,,,
Manager,40000,yr,2014,51000,yr,H,2018,12,female,latino,BA
Communications,55000,yr,2016,64000,yr,P,2019,1,,,
Assistant Curator,44000,yr,2017,47000,yr,HP,2019,4,,,MA
Communications,19,hr,2018,2018,yr,H,2018,3,female,white,MA
Communications,,,,65000,yr,P,2019,3,female,,
Manager,12,hr,,36000,yr,P,2016,4,female,white,BA
Art Handler,16,hr,2017,19,hr,H,2019,5,,,
Academic,32000,yr,2018,32000,yr,H,2019,1,female,white,BA
Technical,36000,yr,2014,39000,yr,H,2018,5,,,
Visitor Experience,12,hr,,12,hr,H Full Time,2019,4,,white,MA
Conservator,36 000,yr,,38 000,yr,C,2019,5,female,white,MA
Assistant,,,,20,hr,HC,2019,,,,
Coordinator,18,hr,2015,18,hr,HC,2017,,female,white,
Assistant,11,hr,,15,hr,H,2019,4,male,white,BA
Assistant,11,hr,,11,hr,H Full Time,2019,5,female,mixed,BA required MA preferred
Assistant,11,hr,,11,hr,H,2019,3,female,white,
Assistant Curator,61000,yr,,61000,yr,P,2019,12,female,white,MA
Assistant Curator,61000,yr,,61000,yr,P,2019,,,,
Manager,56000,yr,,57000,yr,P,2019,,female,white,
Manager,55000,yr,,55750,yr,C,2019,4,female,white,
Designer,52000,yr,2016,54600,yr,P,2019,10,,,
Education,40000,yr,,50000,yr,P,2019,,,,
Assistant Registrar,35000,yr,,50000,yr,,2019,,female,white,
Curator,26000,yr,,50000,yr,H,2019,,male,white,
Coordinator,45000,yr,2017,47000,yr,P,2019,,male,,
Archivist,42000,yr,2016,46100,yr,C,2019,,female,white,MLIS
Designer,41500,yr,,45000,yr,P,2016,7,female,white,BA
Conservator,,,,43000,yr,P,2019,15,male,white,
Education,30500,yr,2014,42000,yr,HP,2019,,female,,
Assistant,35000,yr,,35310,yr,P,2016,2,female,white,
Curator,30000,yr,,35000,yr,C,2017,,male,,
Coordinator,32500,yr,2015,34500,yr,H Full Time,2016,,female,white,
Assistant,30000,yr,,30500,yr,HP,2019,,female,,
Intern,0,yr,,0,yr,C,,,,,
Registrar,45000,yr,2012,55000,yr,P,2019,13,,,
Manager,29000,yr,1999,53321,yr,P,2019,22,female,,MA
Assistant,38000,yr,2018,38000,yr,HC,2019,,,,
Assistant,30000,yr,2019,30000,yr,H,2019,4,other,white,BA
Editor,51000,yr,2008,61600,yr,P,2019,8,female,,
Coordinator,35000,yr,2017,35900,yr,HP,2019,3,female,,BA
Registrar,16,hr,2013,16,hr,C,2013,5,female,,MA
Assistant Curator,15,hr,2006,19.3,hr,HP,2019,13,female,,MA
Assistant,,,,31000,yr,H,2019,3,female,,
Curator,38000,yr,2018,38000,yr,C,2019,4,female,white,MA required PhD preferred
Curator,40000,yr,2018,40000,yr,C,2019,3,,,
Designer,45000,yr,2017,46125,yr,P,2019,3,male,white,BA
Coordinator,33000,yr,2014,41000,yr,HP,2017,7,female,latino,BA
Technical,52000,yr,2017,54100,yr,P,2019,5,female,white,BA required MA preferred
Curator,40000,yr,2018,40000,yr,C,2019,4,female,white,MA
Assistant,42000,yr,2014,45000,yr,P,2019,10,female,white,MA
Education,33000,yr,2015,45000,yr,HC,2018,2,female,white,
Manager,35000,yr,2014,50000,yr,P,2019,6,female,,MA
Education,40000,yr,2015,42000,yr,P Full Time,2019,5,female,white,MA
Curator,40000,yr,2009,86400,yr,P,2019,18,female,white,MA
Manager,35000,yr,2018,35000,yr,P,2019,3,,,
Assistant,30000,yr,2018,,,H,2019,,female,,
Assistant,11,hr,2014,18.37,hr,HP,2019,4,,,
Manager,,,,68500,yr,P,2019,19,female,white,MA required PhD preferred
Manager,45000,yr,2012,55000,yr,P,2018,18,female,white,MA
Conservator,40000,yr,2016,41616,yr,C,,10,female,white,MA
Manager,51000,yr,2014,56000,yr,P,2016,4,female,white,
Assistant Curator,,,,69300,yr,P,2019,11,male,black,
Designer,43800,yr,2018,43800,yr,,2019,4,male,poc,
Coordinator,,,,54000,yr,P,2019,17,female,white,
Assistant,31000,yr,2018,31000,yr,H,2019,6,female,white,BA
Assistant Curator,30000,yr,2018,30000,yr,H,2019,4,female,white,BA required MA preferred
Registrar,44700,yr,2012,57400,yr,P,,,,,
Coordinator,33800,yr,2018,33800,yr,P,2019,2,male,white,BA
Assistant,50000,yr,2019,50000,yr,P,2019,8,male,white,
Assistant,30000,yr,2018,30000,yr,P,2018,1,,,BA
Coordinator,48000,yr,2017,51000,yr,P,2019,10,female,white,
Curator,35000,yr,2019,35000,yr,C,2019,,,,MA
Intern,10,hr,2018,10,hr,H,2018,1,female,white,
Coordinator,16,hr,2008,18,hr,H,2007,,female,,
Admin,40000,yr,2015,44000,yr,P,2019,8,female,,
Manager,55000,yr,,55000,yr,P,2019,,female,white,
Visitor Experience,47500,yr,,47500,yr,P,2018,,female,,
Curator,45000,yr,,46125,yr,C,2019,,,,
Coordinator,45000,yr,,46000,yr,C,2019,,female,,PhD
Assistant,,,,,,H,,,,black,
Assistant Curator,43000,yr,2017,44075,yr,C,2019,12,female,mixed,MA
Curator,67500,yr,2016,68175,yr,P,2018,12,female,white,MA
Curator,39000,yr,,39000,yr,C,,3,female,,
Assistant Registrar,32000,yr,2016,32000,yr,HP,2019,8,female,poc,MA
Visitor Experience,11,hr,2019,11.2,hr,H,2019,6,,,
Coordinator,38000,yr,2018,38000,yr,P,2019,3,female,poc,BA
Curator,20,hr,2018,20,hr,HC,2019,2,female,latino,MA
Visitor Experience,24.51,hr,2019,24.51,hr,H,2019,2,male,white,MA
Consultancy,25,hr,2015,25,hr,H,2015,10,female,,MA
Director,56000,yr,2016,58580,yr,P,2019,18,male,white,MA
Art Handler,14,hr,2018,18,hr,H,2019,1,male,white,No degree
Visitor Experience,30000,yr,2019,30000,yr,,,3,female,white,BA required MA preferred
Assistant Curator,52000,yr,,52000,yr,H,2019,,female,,
Visitor Experience,10.45,hr,,14,hr,P Full Time,2019,,female,white,
Registrar,14,hr,2008,19.8,hr,P,2019,10,,,
other,20000,yr,2014,24000,yr,H,2019,5,,,
Relations,48000,yr,,48000,yr,,2019,3,female,white,BA
Assistant,16,hr,2017,16.8,hr,H,2019,4,female,white,
Education,,,,,,,2019,4,female,,MA
Conservator,27,hr,2018,28.5,hr,HP,2019,2,female,white,MA
other,32000,yr,2017,33000,yr,C,2019,15,male,mixed,MA
Assistant Manager,42000,yr,2017,44000,yr,P,2019,4,female,asian,BA
